Id,SalePrice
1461,133830
1462,155133
1463,176001
1464,184978
1465,206130
1466,184747
1467,169911
1468,177346
1469,181965
1470,122149
1471,191873
1472,90219.4
1473,104529
1474,153940
1475,138134
1476,374675
1477,260013
1478,309139
1479,265065
1480,439785
1481,319773
1482,211529
1483,182208
1484,172517
1485,176674
1486,203074
1487,346460
1488,240382
1489,202087
1490,207661
1491,202077
1492,103822
1493,181917
1494,307955
1495,302945
1496,224044
1497,193555
1498,158106
1499,156312
1500,157014
1501,174446
1502,163529
1503,309155
1504,234383
1505,222324
1506,195873
1507,240570
1508,213707
1509,165584
1510,149483
1511,152196
1512,165867
1513,166794
1514,161411
1515,175710
1516,166027
1517,152284
1518,127571
1519,224165
1520,136424
1521,147932
1522,171353
1523,113240
1524,132049
1525,131216
1526,128121
1527,107505
1528,123908
1529,137748
1530,165441
1531,130119
1532,108508
1533,143045
1534,112136
1535,166825
1536,116262
1537,80400.7
1538,197477
1539,254710
1540,115346
1541,160570
1542,139635
1543,213093
1544,84258.3
1545,105427
1546,125736
1547,136576
1548,137558
1549,119006
1550,142772
1551,113099
1552,145362
1553,151413
1554,113242
1555,175989
1556,98451.4
1557,132926
1558,98999.8
1559,126489
1560,155759
1561,162138
1562,123014
1563,123572
1564,165381
1565,155739
1566,219492
1567,84601.4
1568,240116
1569,146310
1570,134779
1571,133088
1572,145206
1573,242997
1574,123664
1575,208591
1576,223630
1577,205903
1578,155693
1579,142998
1580,196338
1581,141124
1582,128359
1583,339777
1584,246455
1585,135996
1586,79755.6
1587,108425
1588,155800
1589,109610
1590,130654
1591,105198
1592,126401
1593,116819
1594,130421
1595,125138
1596,229663
1597,162322
1598,190831
1599,214150
1600,197640
1601,64880.3
1602,113853
1603,105332
1604,296093
1605,263666
1606,165826
1607,186609
1608,199711
1609,193960
1610,155139
1611,148977
1612,148062
1613,166704
1614,121349
1615,91795.8
1616,88538.9
1617,100025
1618,125041
1619,134192
1620,145152
1621,140147
1622,154692
1623,294979
1624,222141
1625,131824
1626,174107
1627,188743
1628,313906
1629,178257
1630,352469
1631,231681
1632,231683
1633,166556
1634,183057
1635,183324
1636,166113
1637,173146
1638,224163
1639,182038
1640,242324
1641,184356
1642,216956
1643,227956
1644,233219
1645,177485
1646,154042
1647,163942
1648,139000
1649,142098
1650,122044
1651,119698
1652,94595.8
1653,102411
1654,160849
1655,150188
1656,157611
1657,158635
1658,160666
1659,141287
1660,148035
1661,459238
1662,392646
1663,378147
1664,429578
1665,322520
1666,332276
1667,360515
1668,328313
