Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,TotRmsAbvGrd,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,Fireplaces,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_No_fireplace,FireplaceQu_Po,FireplaceQu_TA,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No_garage,GarageYrBlt,GarageFinish_Fin,GarageFinish_No_garage,GarageFinish_RFn,GarageFinish_Unf,GarageCars,GarageArea,GarageQual_Ex,GarageQual_Fa,GarageQual_Gd,GarageQual_No_garage,GarageQual_Po,GarageQual_TA,GarageCond_Ex,GarageCond_Fa,GarageCond_Gd,GarageCond_No_garage,GarageCond_Po,GarageCond_TA,PavedDrive_N,PavedDrive_P,PavedDrive_Y,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice
0,0,0,0,1,856,854,0,1710,1,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2003.0,0,0,1,0,2,548,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,61,0,0,0,0,0,2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,208500
0,0,0,0,1,1262,0,0,1262,0,1,2,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1976.0,0,0,1,0,2,460,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,298,0,0,0,0,0,0,5,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,181500
0,0,0,0,1,920,866,0,1786,1,0,2,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2001.0,0,0,1,0,2,608,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,42,0,0,0,0,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,223500
0,0,0,0,1,961,756,0,1717,1,0,1,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1998.0,0,0,0,1,3,642,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,35,272,0,0,0,0,2,2006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,140000
0,0,0,0,1,1145,1053,0,2198,1,0,2,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2000.0,0,0,1,0,3,836,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,192,84,0,0,0,0,0,12,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,250000
0,0,0,0,1,796,566,0,1362,1,0,1,1,1,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1993.0,0,0,0,1,2,480,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,40,30,0,320,0,0,700,10,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,143000
0,0,0,0,1,1694,0,0,1694,1,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2004.0,0,0,1,0,2,636,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,255,57,0,0,0,0,0,8,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,307000
0,0,0,0,1,1107,983,0,2090,1,0,2,1,3,1,0,0,0,1,7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1973.0,0,0,1,0,2,484,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,235,204,228,0,0,0,350,11,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,200000
0,1,0,0,0,1022,752,0,1774,0,0,2,0,2,2,0,0,0,1,8,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1931.0,0,0,0,1,2,468,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,90,0,205,0,0,0,0,4,2008,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,129900
0,0,0,0,1,1077,0,0,1077,1,0,1,0,2,2,0,0,0,1,5,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1939.0,0,0,1,0,1,205,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,118000
